Date,Open,High,Low,Close,Adj Close,Volume
4/4/2019,2873.99,2881.28,2867.14,2879.39,2879.39,3015180000.00
5/4/2019,2884.16,2893.24,2882.99,2892.74,2892.74,3146820000.00
8/4/2019,2888.46,2895.95,2880.78,2895.77,2895.77,3054030000.00
9/4/2019,2886.58,2886.88,2873.33,2878.20,2878.20,3007980000.00
10/4/2019,2881.37,2889.71,2879.13,2888.21,2888.21,3062380000.00
11/4/2019,2891.92,2893.42,2881.99,2888.32,2888.32,2938540000.00
12/4/2019,2900.86,2910.54,2898.37,2907.41,2907.41,3688490000.00
4/15/2019,2908.32,2909.60,2896.48,2905.58,2905.58,3088330000.00
4/16/2019,2912.26,2916.06,2900.71,2907.06,2907.06,3402210000.00
4/17/2019,2916.04,2918.00,2895.45,2900.45,2900.45,3602300000.00
4/18/2019,2904.81,2908.40,2891.90,2905.03,2905.03,3506850000.00
4/22/2019,2898.78,2909.51,2896.35,2907.97,2907.97,2997950000.00
4/23/2019,2909.99,2936.31,2908.53,2933.68,2933.68,3635030000.00
4/24/2019,2934.00,2936.83,2926.05,2927.25,2927.25,3448960000.00
4/25/2019,2928.99,2933.10,2912.84,2926.17,2926.17,3425280000.00
4/26/2019,2925.81,2939.88,2917.56,2939.88,2939.88,3248500000.00
4/29/2019,2940.58,2949.52,2939.35,2943.03,2943.03,3118780000.00
4/30/2019,2937.14,2948.22,2924.11,2945.83,2945.83,3919330000.00
1/5/2019,2952.33,2954.13,2923.36,2923.73,2923.73,3645850000.00
2/5/2019,2922.16,2931.68,2900.50,2917.52,2917.52,3778890000.00
3/5/2019,2929.21,2947.85,2929.21,2945.64,2945.64,3338120000.00
6/5/2019,2908.89,2937.32,2898.21,2932.47,2932.47,3181520000.00
7/5/2019,2913.03,2913.03,2862.60,2884.05,2884.05,3767100000.00
8/5/2019,2879.61,2897.96,2873.28,2879.42,2879.42,3485790000.00
9/5/2019,2859.84,2875.97,2836.40,2870.72,2870.72,3638820000.00
10/5/2019,2863.10,2891.31,2825.39,2881.40,2881.40,3529600000.00
5/13/2019,2840.19,2840.19,2801.43,2811.87,2811.87,3894030000.00
5/14/2019,2820.12,2852.54,2820.12,2834.41,2834.41,3322720000.00
5/15/2019,2820.38,2858.68,2815.08,2850.96,2850.96,3125950000.00
5/16/2019,2855.80,2892.15,2855.80,2876.32,2876.32,3338060000.00
5/17/2019,2858.60,2885.48,2854.23,2859.53,2859.53,3257950000.00
5/20/2019,2841.94,2853.86,2831.29,2840.23,2840.23,3288870000.00
5/21/2019,2854.02,2868.88,2854.02,2864.36,2864.36,3218700000.00
5/22/2019,2856.06,2865.47,2851.11,2856.27,2856.27,3192510000.00
5/23/2019,2836.70,2836.70,2805.49,2822.24,2822.24,3891980000.00
5/24/2019,2832.41,2841.36,2820.19,2826.06,2826.06,2887390000.00
5/28/2019,2830.03,2840.51,2801.58,2802.39,2802.39,4121410000.00
5/29/2019,2790.25,2792.03,2766.06,2783.02,2783.02,3700050000.00
5/30/2019,2786.94,2799.00,2776.74,2788.86,2788.86,3273790000.00
5/31/2019,2766.15,2768.98,2750.52,2752.06,2752.06,3981020000.00
3/6/2019,2751.53,2763.07,2728.81,2744.45,2744.45,3966700000.00
4/6/2019,2762.64,2804.49,2762.64,2803.27,2803.27,3810430000.00
5/6/2019,2818.09,2827.28,2800.92,2826.15,2826.15,3548830000.00
6/6/2019,2828.51,2852.10,2822.45,2843.49,2843.49,3396410000.00
7/6/2019,2852.87,2884.97,2852.87,2873.34,2873.34,3220250000.00
10/6/2019,2885.83,2904.77,2885.51,2886.73,2886.73,3209210000.00
11/6/2019,2903.27,2910.61,2878.53,2885.72,2885.72,3548420000.00
12/6/2019,2882.73,2888.57,2874.68,2879.84,2879.84,3034130000.00
6/13/2019,2886.24,2895.24,2881.99,2891.64,2891.64,3069810000.00
6/14/2019,2886.82,2894.45,2879.62,2886.98,2886.98,2922330000.00
6/17/2019,2889.75,2897.27,2887.30,2889.67,2889.67,2810140000.00
6/18/2019,2906.71,2930.79,2905.44,2917.75,2917.75,3437620000.00
6/19/2019,2920.55,2931.74,2911.43,2926.46,2926.46,3287890000.00
6/20/2019,2949.60,2958.06,2931.50,2954.18,2954.18,3905940000.00
6/21/2019,2952.71,2964.15,2946.87,2950.46,2950.46,5000120000.00
6/24/2019,2951.42,2954.92,2944.05,2945.35,2945.35,3136250000.00
6/25/2019,2945.78,2946.52,2916.01,2917.38,2917.38,3578050000.00
6/26/2019,2926.07,2932.59,2912.99,2913.78,2913.78,3478130000.00
6/27/2019,2919.66,2929.30,2918.57,2924.92,2924.92,3122920000.00
6/28/2019,2932.94,2943.98,2929.05,2941.76,2941.76,5420700000.00
1/7/2019,2971.41,2977.93,2952.22,2964.33,2964.33,3513270000.00
2/7/2019,2964.66,2973.21,2955.92,2973.01,2973.01,3206840000.00
3/7/2019,2978.08,2995.84,2977.96,2995.82,2995.82,1963720000.00
5/7/2019,2984.25,2994.03,2967.97,2990.41,2990.41,2434210000.00
8/7/2019,2979.77,2980.76,2970.09,2975.95,2975.95,2904550000.00
